Raw RH Runs
Rows,Hits,Seed,Flips,Flip %,TRR Commands,Total Energy,Refresh Energy,TRR Energy,Write Energy,Read Energy,Activation Energy,Average Read Latency
20,200000,1,8,25,1.25,0,1192515696124.8,720548269056.0,0.0,0.0,35346358886.399994,24207812160.0,216.28293848110192
20,200000,2,16,3,0.15,0,1878403525536.0,1441097602560.0,0.0,0.0,35009374617.6,10898220480.0,392.0651704238778
20,200000,2,2,21,1.05,0,677357730009.6,180136535040.0,0.0,0.0,35565056563.2,32836587840.0,109.98579612144903
20,200000,2,4,17,0.85,0,849057118252.8,360274134528.0,0.0,0.0,35497853030.399994,29908589760.0,143.56646449565645
20,200000,2,8,13,0.65,0,1192520910432.0,720548269056.0,0.0,0.0,35351606169.6,24207751680.0,216.29141423428032
20,200000,3,16,9,0.45,0,1878390894182.4,1441097602560.0,0.0,0.0,34994635008.0,10902218880.0,392.0248726467636
20,200000,3,2,31,1.55,0,677354786544.0,180136535040.0,0.0,0.0,35562098841.6,32836628160.0,109.97684749131781
20,200000,3,4,25,1.25,0,849053396352.0,360274134528.0,0.0,0.0,35493367449.6,29910034560.0,143.56314399275098
20,200000,3,8,22,1.1,0,1192514362291.2002,720548269056.0,0.0,0.0,35344692940.799995,24208430400.0,216.2850912319092
20,200000,4,16,15,0.75,0,1878414726969.6,1441097602560.0,0.0,0.0,35021797939.2,10895908800.0,392.0360614020461
20,200000,4,2,32,1.6,0,677356792972.7999,180136535040.0,0.0,0.0,35564201318.399994,32836446720.0,109.97655086913771
20,200000,4,4,30,1.5,0,849058294713.6,360274134528.0,0.0,0.0,35498908723.2,29908818240.0,143.5683613723162
20,200000,4,8,33,1.65,0,1192529795635.2002,720548269056.0,0.0,0.0,35360550604.799995,24207677760.0,216.29784486169183
20,200000,5,16,12,0.6,0,1878399745555.2,1441097602560.0,0.0,0.0,35004777676.799995,10899766080.0,392.1081738311304
20,200000,5,2,28,1.4,0,677356567632.0,180136535040.0,0.0,0.0,35563635609.6,32837098560.0,109.98312937078234
20,200000,5,4,31,1.55,0,849055294195.2,360274134528.0,0.0,0.0,35495897548.799995,29908838400.0,143.5640504935442
20,200000,5,8,19,0.95,0,1192520918505.6,720548269056.0,0.0,0.0,35351490355.2,24208007040.0,216.28663910748966
20,200000,6,16,6,0.3,0,1878398502547.2,1441097602560.0,0.0,0.0,35003463628.799995,10899900480.0,391.99455874591905
20,200000,6,2,24,1.2,0,677354988662.3999,180136535040.0,0.0,0.0,35562236928.0,32836735680.0,109.98740062185016
20,200000,6,4,22,1.1,0,849055464115.2,360274134528.0,0.0,0.0,35495719372.799995,29909496960.0,143.56545386977214
20,200000,6,8,19,0.95,0,1192520241436.8,720548269056.0,0.0,0.0,35350746470.399994,24208128000.0,216.28714685768009
20,200000,7,16,6,0.3,0,1878388128633.5999,1441097602560.0,0.0,0.0,34992354355.2,10901298240.0,392.0122283856998
